pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
Kepler-1167 b,1.71,3.57,1419.0,0.0175,1039.697,4971.0,0.75,0.79,-0.05,3.92
Kepler-1740 b,3.32321414,11.0,858.0,0.0779,127.95,5705.0,0.905,0.943,-0.06,1.65
Kepler-1581 b,0.8,0.437,1108.0,0.06865,470.862,6022.0,1.23,1.12,0.07,4.69
Kepler-644 b,3.15,10.1,1655.0,0.04641,2381.77,6747.0,1.81,1.49,0.08,1.78
Kepler-1752 b,4.54060463,18.7,419.0,0.2698,7.29,5446.0,0.821,0.824,-0.2,1.1
Kepler-280 c,2.01,4.7,1088.0,0.056,279.085,5744.0,0.886,0.962,0.1213,3.18
Kepler-1208 b,2.32,5.99,665.0,0.0901,37.664,5001.0,0.76,0.8,-0.03,2.64
Kepler-263 c,2.47,6.66,386.0,0.242,5.994,5265.0,0.785,0.793,-0.0314,2.43
Kepler-1101 b,2.47,6.66,393.0,0.3483,3.577,5614.0,0.91,0.94,-0.04,2.43
HD 168746 b,11.1,85.8141,900.0,0.07,,5570.0,1.09,1.07,-0.08,0.345
Kepler-560 b,1.72,3.61,298.0,0.0899,2.46,3556.0,0.33,0.34,-0.39,3.9
Kepler-150 d,2.79,8.2,734.0,0.104,65.142,5560.0,0.939,0.956,0.12,2.07
Kepler-498 b,3.03,9.43,931.0,0.0897,202.775,5744.0,0.96,0.98,-0.04,1.86
Kepler-817 b,9.03,60.2,1124.0,0.0493,550.203,5861.0,1.03,1.03,0.02,0.449
Kepler-937 b,3.72,13.4,495.0,0.3214,20.627,6095.0,1.22,1.15,0.08,1.43
K2-10 b,3.773,25.2,649.0,0.137,42.1,5533.0,0.956,0.88,-0.07,2.36
Kepler-571 b,2.64,7.46,978.0,0.0546,219.036,5527.0,0.9,0.93,0.01,2.23
Kepler-1458 b,2.76,8.05,493.0,0.24869,8.293,5653.0,0.94,0.96,0.02,2.1
Kepler-1600 c,1.94206512,4.43,786.0,0.06961,84.7,5119.0,0.834,0.818,0.1,3.32
Kepler-221 d,2.73,3.61,712.0,0.087,56.293,5243.0,0.821,0.854,0.0616,0.9
Kepler-626 b,2.29,5.86,784.0,0.10913,69.795,5813.0,1.05,1.01,0.01,2.68
Kepler-1549 b,2.57,7.13,286.0,0.6687,1.184,5324.0,0.84,0.88,0.02,2.31
K2-62 c,1.99,4.62,495.0,0.1148,14.3,4455.0,0.696,0.67,-0.1,3.22
Kepler-1149 b,1.44,2.67,1128.0,0.0473,653.831,5833.0,1.01,1.02,0.02,4.91
Kepler-1288 b,1.12,1.46,2017.0,0.04135,1342.5,6132.0,1.29,1.2,0.14,5.71
Kepler-128 b,1.421,3.79,968.0,0.12545,227.398,6072.0,1.659,1.184,-0.03,7.222837
Kepler-1245 b,1.44,2.67,1043.0,0.0484,194.344,5306.0,0.83,0.86,-0.01,4.91
Kepler-1068 b,3.63,12.8,702.0,0.13038,55.933,5806.0,1.01,1.01,0.03,1.47
Kepler-150 e,3.12,9.91,544.0,0.189,19.671,5560.0,0.939,0.956,0.12,1.79
Kepler-272 c,1.79,97.8,947.0,0.061,310.76,5297.0,0.929,0.91,0.04,93.7
Kepler-152 c,2.39,6.3,326.0,0.356,2.57,5088.0,0.724,0.779,-0.12,2.54
Kepler-1506 b,1.32,2.3,783.0,0.1168,235.807,5676.0,0.93,0.95,-0.05,5.5
CoRoT-3 b,11.32,6883.91,1695.0,0.05783,,6740.0,1.56,1.37,0.14,26.4
HD 205739 b,13.6,435.41,,0.896,,6176.0,1.33,1.22,0.19,0.951
HD 224693 b,14.0,222.481,,0.191,,5894.0,1.93,1.31,0.27,0.446
HD 16417 b,5.0,22.1,,0.14,,5841.0,1.639984,1.2,0.06,0.972
HD 19994 b,13.6,435.41,,1.305,,6188.0,1.79647,1.365,0.27,0.951
GJ 179 b,13.8,301.93698665,,2.41,,3370.0,0.38,0.357,0.3,0.631
GQ Lup b,33.6,6356.0,2650.0,100.0,,4360.0,1.94153,0.7,-0.35,0.921
HD 37605 b,13.2,854.9627,,0.277,,5329.0,0.91,0.94,0.27,2.04
HD 33283 b,12.5,104.56607,,0.1508,,5935.0,1.97,1.38,0.35,0.294
HD 9446 b,14.0,222.472,,0.189,,5793.0,1.0,1.0,0.09,0.446
HD 134987 c,13.9,260.0,,5.8,,5585.0,1.25,1.1,0.28,0.532
HD 110014 b,12.4,3524.59,,2.14,,4445.0,20.9,2.17,0.19,10.2
HD 79498 b,13.6,425.8922,,2.98,,5748.0,1.05,1.08,0.18,0.93
HD 45652 b,14.3,137.62039,,0.237,,5294.0,0.94,0.92,0.26,0.259
HIP 79431 b,13.4,667.415,,0.36,,3191.0,0.478625,0.49,0.4,1.52
GJ 876 b,13.3,723.2235,,0.208317,,3293.74,0.3,0.32,0.2129,1.69
HD 47186 c,13.0,111.42,,2.395,,5657.0,1.08,0.96,0.24,0.279
HD 148156 b,13.9,270.144,,2.45,,6308.0,1.21,1.22,0.29,0.553
HIP 14810 c,13.6,416.3573,,0.549,,5544.0,1.07,1.01,0.24,0.91
HIP 14810 b,13.0,1239.537,,0.0696,,5544.0,1.07,1.01,0.24,3.1
GJ 876 d,2.51,6.83,,0.02080665,,3293.74,0.3,0.32,0.2129,2.37
GJ 876 e,3.92,14.6,,0.3343,,3293.74,0.3,0.32,0.2129,1.33
gam1 Leo b,12.5,2790.43,,1.19,,4330.0,31.88,1.23,-0.51,7.85
HD 156411 b,14.0,235.18,,1.88,,5900.0,2.16,1.25,-0.12,0.471
HD 8535 b,14.0,216.1244,,2.45,,6136.0,1.19,1.13,0.06,0.433
HD 37605 c,13.1,1013.8777,,3.74,,5329.0,0.91,0.94,0.27,2.48
HD 1605 c,13.0,1150.5446,,3.584,,4915.0,3.49,1.33,0.22,2.88
BD+20 2457 b,12.1,6807.63,,1.45,,4137.0,49.0,2.8,-1.0,21.1
HD 240210 b,12.8,1655.82,,1.16,,4297.0,25.456816,0.82,-0.18,4.34
CoRoT-17 b,11.43,772.29,1626.0,0.0461,,5740.0,1.59,1.04,0.0,2.82
HD 132563 b,13.6,473.547,,2.62,,6289.0,1.29577,1.231,-0.06,1.03
HD 55696 b,12.9,1357.12729789,,3.18,,6012.0,1.52,1.29,0.37,3.47
HD 148164 b,13.7,390.9309,,0.993,,6032.0,1.34,1.21,0.24,0.835
24 Sex c,13.9,273.32,,2.08,,5098.0,4.9,1.54,-0.03,0.559
HD 22781 b,12.3,4338.2,,1.167,,5027.0,0.743475,0.75,-0.37,12.8
HD 148164 c,12.8,1640.0028,,6.15,,6032.0,1.34,1.21,0.24,4.3
HD 90156 b,4.43,17.98,,0.25,,5599.0,0.920286,0.84,-0.24,1.14
HD 45350 b,13.5,568.89,,1.92,,5566.0,1.26442,0.98,0.23,1.27
MOA-2009-BLG-266L b,3.21,10.4,,3.2,,,,0.56,,1.73
Kepler-595 c,1.009,3.3,679.0,0.0983,50.23,5138.5,0.821,0.93,0.406,6.9
Kepler-595 b,3.708,17.4,535.0,0.1582,17.382,5138.5,0.821,0.93,0.406,1.23
HD 177830 c,7.87,47.6725,,0.5137,,4949.0,2.62,1.47,0.545,0.537
OGLE-TR-111 b,11.421971,174.799,1019.0,0.0473,,5040.0,0.83,0.82,0.19,0.65
PSR B1257+12 b,0.338,0.02,,0.19,,,,1.4,,2.85
PSR B1257+12 d,1.8,3.9,,0.46,,,,1.4,,3.67
HD 21749 c,0.892,3.7,701.0,0.0695,305.9425,4640.0,0.695,0.73,0.003,31.93
CoRoT-18 b,14.68,1102.82,1550.0,0.0295,823.7009,5440.0,1.0,0.95,-0.1,2.2
Kepler-45 b,10.76,160.497,1000.0,0.03,68.37,3820.0,0.55,0.59,0.28,0.8
WASP-23 b,10.783,280.95,1076.55,0.0376,317.4314,5150.0,0.765,0.78,-0.05,1.17
HD 107148 b,9.6,66.741,,0.269,,5797.0,1.169193,1.12,0.314,0.415
SWEEPS-11 b,12.666,3082.82,,0.03,,,1.45,1.1,,8.34
OGLE-TR-211 b,15.244,327.351,1686.0,0.051,,6325.0,1.64,1.33,0.11,0.42
Lupus-TR-3 b,9.976,257.431,,0.0464,,5000.0,0.82,0.87,,1.4
OGLE-2005-BLG-390L b,2.21,5.5,50.0,2.6,,,,0.22,,2.8
HN Peg b,11.7768,6991.57,,773.0,,6186.0,1.006954,1.08,-0.036,23.5
MOA-2009-BLG-387L b,13.2,830.0,,1.8,,,,0.19,,1.98
GJ 674 b,3.33,11.09,,0.039,,3600.0,0.36463,0.35,-0.28,1.65
CoRoT-11 b,16.03,740.51,1657.0,0.0436,1890.649,6440.0,1.37,1.27,-0.03,0.99
2MASS J04414489+2301513 b,12.6,2383.6,,15.0,,2936.0,0.231916,0.019,,6.55
GJ 3634 b,2.83,8.4,,0.0287,,3517.0,0.43,0.45,,2.04
CoRoT-13 b,9.92,415.704,1700.0,0.051,546.5339,5945.0,1.01,1.09,0.01,2.34
OGLE-TR-10 b,14.011,197.046,1702.0,0.0434,,5950.0,1.17,1.14,0.28,0.4
HD 27442 b,13.5,495.8,,1.271,,4846.0,3.18,1.23,0.42,1.11
GJ 3021 b,13.1,1071.04,350.0,0.49,,5540.0,0.9,0.9,0.1,2.62
CoRoT-8 b,6.39,69.92,870.0,0.063,,5080.0,0.77,0.88,0.3,1.6
Kepler-18 c,5.49,17.3,899.0,0.0752,126.081,5345.0,1.108,0.972,0.19,0.59
Kepler-18 b,2.0,6.9,1165.0,0.0447,355.735,5345.0,1.108,0.972,0.19,4.9
HD 46375 b,10.0,71.8,,0.0398,,5285.0,0.914196,0.92,0.24,0.395
HD 221287 b,13.1,982.05,,1.25,,6304.0,1.13864,1.25,-0.03,2.4
HD 33564 b,12.5,2892.1,,1.1,,6250.0,1.4367,1.25,-0.12,8.14
HD 189733 b,12.66617,359.1479,1209.0,0.03126,356.0,5052.0,0.75,0.79,-0.02,0.943
Kepler-4 b,4.002,24.472,1650.0,0.0456,1245.431,5857.0,1.487,1.223,0.17,1.91
WASP-38 b,13.78707,1093.3352,1250.0,0.07522,,6180.0,1.52,1.76,-0.02,2.3
Kepler-18 d,6.98,16.4,720.0,0.1172,51.922,5345.0,1.108,0.972,0.19,0.27
HAT-P-37 b,13.204,371.528,1271.0,0.0379,412.3914,5500.0,0.877,0.929,0.03,0.89
HD 129445 b,13.3,797.74930157,,2.9,,5646.0,1.175816,0.99,0.25,1.86
Kepler-419 c,12.6,2320.1,,1.68,,6430.0,1.74,1.39,0.176,6.37
HD 70573 b,12.8,1900.0,,1.76,,5737.0,0.976919,1.0,-0.18,4.98
HD 47536 b,12.6,2330.0,,1.93,,4380.0,23.47,2.1,-0.65,6.4
WASP-67 b,12.89035,136.6669,1003.0,0.05179,188.1062,5200.0,0.88,0.91,-0.07,0.388
CoRoT-14 b,12.22,2415.4,1952.0,0.027,,6035.0,1.21,1.13,0.05,7.3
MOA-2008-BLG-310L b,5.18,23.4,,1.1,,,,0.21,,0.925
Kepler-419 b,10.8,794.5,613.0,0.37,37.416,6430.0,1.74,1.39,0.176,3.5
HD 11964 c,5.38,25.0,,0.229,,5303.0,2.00971,0.91,0.1,0.882
CoRoT-6 b,13.068,940.74,1017.0,0.0855,,6090.0,1.025,1.05,-0.2,2.32
WASP-31 b,17.363,151.916,1423.7,0.04659,970.9417,6302.0,1.252,1.163,-0.2,0.172
HD 108236 f,2.017,4.72,,0.1758,,5660.0,0.877,0.869,-0.28,3.16
Kepler-59 c,1.98,3.81,752.0,0.13114,107.741,6074.0,0.94,1.04,-0.2,1.62
HD 154857 c,13.2,819.97,,5.36,,5605.0,1.76,1.718,-0.2,1.96
KOI-217 b,12.442,,1046.0,0.0477,272.033,5545.0,0.86,0.95,0.12,
Kepler-62 c,0.54,4.0,578.0,0.0929,28.489,4925.0,0.64,0.69,-0.37,
Kepler-62 b,1.31,9.0,750.0,0.0553,80.326,4925.0,0.64,0.69,-0.37,
CHXR 73 b,12.3,3994.486,,210.0,,3099.0,,0.35,,11.8
FU Tau b,12.2,5085.28,2375.0,800.0,,2838.0,,0.05,,15.4
GJ 667 C b,2.25,5.68,,0.050431,,3350.0,,0.33,-0.55,2.74
Kepler-59 b,1.1,4.1,864.0,0.09943,187.51,6074.0,0.94,1.04,-0.2,8.7
Kepler-53 b,2.89,111.0,701.0,0.1361,60.997,5858.0,0.89,0.98,0.0,1.18
HD 82943 c,13.4,622.603,,0.74345,,5935.0,1.1826,1.08,0.26,1.42
HD 82943 b,13.5,534.25,,1.18306,,5935.0,1.1826,1.08,0.26,1.19
UZ For b,,2002.2,,5.9,,5286.9,,0.7,,
Kepler-69 b,2.24,5.65,779.0,0.094,123.517,5638.0,0.93,0.81,-0.29,2.76
HIP 5158 c,12.2,4780.1632,,7.7,,4813.0,0.754089,0.78,0.17,14.5
HU Aqr AB b,12.8,1875.197,,3.6,,5952.0,,0.88,,4.91
Kepler-65 d,1.52,4.14,1117.0,0.084,394.549,6211.0,1.41,1.25,0.17,5.7
Kepler-52 c,1.84,45.4,433.0,0.10379,8.55,4075.0,0.52,0.54,0.0,20.0
Kepler-55 b,2.43,43.0,400.0,0.1593,6.642,4362.0,0.58,0.62,-0.01,16.5
UZ For c,,2447.2,,2.8,,5286.9,,0.7,,
Kepler-413 b,4.347,67.0,,0.3553,,4700.0,0.7761,0.82,-0.2,3.2
WASP-14 b,15.46842,2809.6172,1872.0,0.037,1356.33,6475.0,1.4,1.62,0.0,2.25
HAT-P-2 b,10.659759,2866.81223114,1540.0,0.06814,588.518,6380.0,1.39,1.33,0.18,7.29
HAT-P-42 b,14.348,331.801,1428.0,0.0575,684.0973,5743.0,1.53,1.178,0.27,0.61
WASP-59 b,8.687,274.276,670.0,0.0697,38.0328,4650.0,0.613,0.719,-0.15,2.4
HAT-P-39 b,17.609,190.372,1752.0,0.0509,1915.6934,6430.0,1.625,1.404,0.19,0.19
alf Ari b,13.4,572.07,,1.2,,4553.0,13.9,1.5,-0.09,1.31
KOI-55 b,0.759,0.44,,0.006,,27730.0,0.203,0.496,-0.106,5.53
GJ 536 b,2.41,6.37,451.0,0.0668,9.9,3641.0,0.529,0.528,-0.08,2.5
WTS-2 b,15.277867,355.9696,2000.0,0.01855,2544.6509,5000.0,0.752,0.82,0.2,0.54
KELT-6 c,13.0,1179.1493,,2.39,,6272.0,1.529,1.126,-0.27,2.95
KOI-55 c,0.867,0.655,,0.0076,,27730.0,0.203,0.496,-0.106,5.52
Ross 458 c,14.01125,1906.98,,1100.0,,3965.42,0.562566,0.556419,,3.81
Kepler-38 b,4.3,122.0,475.0,0.4632,,5623.0,1.752,0.941,-0.11,
ROXs 42 B b,12.5,2860.0,1975.0,157.0,,3433.0,1.33658,1.0,,8.05
Kepler-50 c,2.17,8.2,1125.0,0.087,388.444,6225.0,1.58,1.24,0.03,9.249213
HD 233604 b,12.7,2089.644,,0.747,,4791.0,10.9,1.5,-0.36,5.61
WD 0806-661 b,12.6,2542.627256,340.0,2500.0,,9552.0,,0.62,,6.98
Kepler-63 b,6.11,120.0,791.0,0.08,100.371,5576.0,0.901,0.984,0.05,3.0
Kepler-77 b,10.761,136.661,1440.0,0.04501,432.871,5520.0,0.99,0.95,0.2,0.603
HAT-P-44 c,13.0,1271.3,,1.752,,5295.0,0.949,0.942,0.33,3.18
HATS-5 b,10.223,75.323,1025.0,0.0542,183.2395,5304.0,0.871,0.936,0.19,0.39
HD 10180 d,,3295.88058059,,0.12859,,5911.0,1.109,1.06,0.08,
WTS-1 b,16.7,1274.44,1500.0,0.047,,6250.0,1.15,1.2,-0.5,1.61
CoRoT-26 b,14.12,165.26,1600.0,0.0526,,5590.0,1.79,1.09,0.01,0.28
CoRoT-25 b,12.11,85.81,1330.0,0.0578,,6040.0,1.19,1.09,-0.01,0.15
Kepler-186 b,1.07,1.24,571.0,0.0343,37.372,3788.0,0.472,0.478,-0.28,5.56
91 Aqr b,13.1,1017.0,,0.7,,4665.0,11.0,1.4,-0.03,2.49
GJ 163 b,3.25,10.6,,0.0607,,3500.0,0.409738,0.4,0.1,1.7
Kepler-27 c,4.9,4385.87,481.0,0.191,11.067,5400.0,0.59,0.65,0.41,
Kepler-27 b,4.0,2895.31,610.0,0.118,28.681,5400.0,0.59,0.65,0.41,
BD-06 1339 b,,1523.03372634,,0.0428,,4324.0,0.686355,0.7,-0.14,
Kepler-186 d,1.4,2.54,379.0,0.0781,7.204,3788.0,0.472,0.478,-0.28,5.09
Kepler-11 d,3.12,7.3,653.0,0.155,51.115,5663.0,1.065,0.961,0.05,1.28
Kepler-11 b,1.8,1.9,849.0,0.091,146.36,5663.0,1.065,0.961,0.05,1.72
Kepler-31 c,5.3,1493.7,615.0,0.26,35.254,6340.0,1.22,1.21,-0.076,0.73
Kepler-32 c,2.0,158.9,451.0,0.09,10.68,3900.0,0.53,0.58,0.0,0.33
Kepler-1735 b,1.19429134,1.84,502.0,0.0621,15.01,3975.0,0.509,0.535,-0.34,5.94
HD 66141 b,12.8,1906.9,,1.2,,4323.0,21.4,1.1,-0.323,5.0
HD 208527 b,12.5,3146.4,,2.1,,4035.0,51.1,1.6,-0.09,8.85
MOA-bin-1L b,13.0,1200.0,,8.3,,,,0.75,,3.0
GU Psc b,14.179,3591.3,1050.0,2000.0,,4031.81,0.450458,0.325,0.1,6.92
GJ 163 c,2.5,6.8,,0.1254,,3500.0,0.409738,0.4,0.1,2.39
GJ 163 d,5.92,29.4,,1.0304,,3500.0,0.409738,0.4,0.1,0.779
Kepler-32 d,2.7,39.9089,328.0,0.13,3.631,3900.0,0.53,0.58,0.0,0.52
Kepler-31 d,3.9,2161.244,484.0,0.4,11.8,6340.0,1.22,1.21,-0.076,0.077
HAT-P-45 b,15.984,283.492,1652.0,0.0452,1052.239,6330.0,1.319,1.259,0.07,0.38
HAT-P-44 b,13.922,111.871,1108.0,0.0507,185.119,5295.0,0.949,0.942,0.33,0.23
MOA-2010-BLG-073L b,12.4,3500.0,,1.21,,,,0.16,,10.1
HAT-P-27 b,11.43,197.05,1091.99,0.04,336.0384,5316.0,0.864673,0.916,0.3,0.76
DENIS-P J082303.1-491201 b,11.9,9057.77,,0.36,,,,0.075,,29.5
HIP 63242 b,12.5,2917.56,,0.565,,4830.0,10.275655,1.54,-0.31,8.21
Kepler-31 b,5.5,36.7418,781.0,0.16,91.474,6340.0,1.22,1.21,-0.076,0.78
Kepler-32 f,0.82,969.228,1026.0,0.013,349.645,3900.0,0.53,0.58,0.0,1.5
Kepler-424 c,12.7,2215.18,,0.73,,5460.0,0.94,1.01,0.44,5.94
KMT-2023-BLG-1896L b,4.19,16.35,,2.86,,,,0.72,,1.22
HD 190984 b,13.0,1137.82569706,,5.5,,5988.0,1.53,0.91,-0.48,2.85
Kepler-134 c,1.26,2.13,892.0,0.092,128.086,5983.0,1.176,0.956,-0.2067,5.85
Kepler-210 b,2.94,8.96,737.0,0.032,122.139,4559.0,0.65,0.77,0.2772,1.94
Kepler-422 b,12.89,136.66,1028.0,0.082,264.983,5972.0,1.24,1.15,0.23,0.38
Kepler-426 b,12.22,108.06,1300.0,0.0414,410.723,5725.0,0.92,0.91,-0.21,0.26
Kepler-16 b,8.4493,105.833,,0.7048,,4450.0,0.6489,0.6897,-0.3,0.964
KOI-94 d,11.27,106.0,806.0,0.1684,97.12,6182.0,1.52,1.277,0.0228,0.363
KOI-94 b,1.71,10.5,1486.0,0.05119,1053.181,6182.0,1.52,1.277,0.0228,10.1
Kepler-35 b,8.16,40.363,,0.60347,,5606.0,1.0284,0.8877,-0.34,0.41
HD 103774 b,13.3,116.0,,0.07,,6489.0,1.581047,1.335,0.28,0.271
HD 109271 b,4.31,17.162,,0.079,,5783.0,1.294595,1.047,0.1,1.18
Kepler-415 c,2.01,4.7,543.0,0.0695,26.237,4362.0,0.643,0.67,0.01,3.18
HD 50554 b,12.8,1859.29618095,,2.353,,5987.0,1.02,1.04,-0.04,4.87
Kepler-428 b,12.11,403.63,1070.0,0.0433,195.088,5150.0,0.8,0.87,0.09,1.02
Kepler-425 b,10.962,79.45,1070.0,0.0464,229.036,5170.0,0.86,0.93,0.24,0.27
WASP-70 A b,13.047,187.512,1387.0,0.04853,649.1548,5763.0,1.215,1.106,-0.006,0.499
KOI-94 e,6.56,35.0,584.0,0.3046,29.7,6182.0,1.52,1.277,0.0228,0.6
Kepler-396 c,5.3,17.9,390.0,0.38946,5.244,5656.0,1.06,0.85,0.1558,0.661
MOA-2010-BLG-477L b,13.6,480.0,,2.0,,5950.0,,0.67,,1.05
HD 166724 b,13.0,1207.7479466,,5.42,,5127.0,0.797485,0.81,-0.09,3.02
Kepler-122 f,1.75,36.0,543.0,0.28575,21.524,5917.0,0.949,1.03,-0.08,36.9
Kepler-96 b,2.67,8.46,711.0,0.1261,57.524,5690.0,1.02,1.0,0.04,2.26
KOI-13 b,16.948008,2949.4624,2550.0,0.03641,25339.901,7650.0,1.74,1.72,0.2,3.6
Kepler-17 b,14.68,778.65,1570.0,0.02591,1481.766,5781.0,1.01034,1.04,0.26,1.35
CoRoT-23 b,11.77,889.9,1660.0,0.048,,5900.0,1.61,1.14,0.05,3.0
BD+20 274 b,13.0,1334.886,,1.3,,4296.0,17.3,0.8,-0.46,3.34
HD 219415 b,13.8,317.83,,3.2,,4820.0,2.9,1.0,-0.04,0.665
HD 150706 b,13.3,772.32302901,,6.7,,5961.0,0.96,1.17,-0.01,1.8
OGLE-2011-BLG-0251L b,14.2,170.0,,2.72,,,,0.26,,0.326
Kepler-414 c,3.01,29.9,890.0,0.07195,137.086,5536.0,0.946,0.89,0.18,6.02
Kepler-42 c,0.73,60.337,720.0,0.006,82.125,3068.0,0.17,0.13,-0.33,98.0
Kepler-33 c,3.2,0.39,1009.0,0.1189,241.759,5904.0,1.82,1.291,0.025,0.13
Kepler-641 b,1.85,4.08,926.0,0.0895,311.788,5713.0,1.13,1.02,0.15,3.54
Kepler-410 A b,2.838,8.44,866.0,0.1226,159.5,6273.0,1.352,1.214,0.01,2.03
Kepler-314 c,2.9,8.75,890.0,0.064,149.977,5378.0,0.95,0.99,0.322,1.97
Kepler-415 b,1.21,119.9,694.0,0.0426,69.834,4362.0,0.643,0.67,0.01,372.0
Kepler-338 e,1.56,8.5,1143.0,0.08979,428.524,5999.0,1.735,1.14,-0.029,12.3
Kepler-33 e,4.02,5.57,752.0,0.2138,74.72,5904.0,1.82,1.291,0.025,0.8
Kepler-33 b,1.74,3.68,1336.0,0.0677,744.011,5904.0,1.82,1.291,0.025,3.84
Kepler-46 c,13.5,119.499,455.0,0.2799,,5155.0,0.938,0.902,0.41,0.267
Kepler-318 b,4.71,19.9,1039.0,0.056,333.149,5746.0,1.189,1.073,0.332,1.05
Kepler-314 b,0.83,0.498,1195.0,0.035,488.674,5378.0,0.95,0.99,0.322,4.79
Kepler-46 b,9.057,1907.0,543.0,0.1968,10.9,5155.0,0.938,0.902,0.41,14.0
USco CTIO 108 b,12.3,4449.62,,670.0,,2700.0,0.345365,0.06,,13.1
Kepler-130 c,2.9,8.75,683.0,0.178,46.011,5879.0,1.17,1.0,0.02,1.97
Kepler-418 b,13.45,349.6112477,434.0,0.39249,8.877,5820.0,1.09,0.98,-0.05,
Kepler-33 f,4.46,9.6,691.0,0.2535,53.183,5904.0,1.82,1.291,0.025,0.9
Kepler-33 d,5.35,3.91,853.0,0.1662,123.691,5904.0,1.82,1.291,0.025,0.25
HD 155358 c,13.9,261.0,,1.02,,5900.0,1.38,0.92,-0.51,0.534
Kepler-52 b,2.1,135.0,553.0,0.0637,22.72,4075.0,0.52,0.54,0.0,3.35
V0391 Peg b,13.1,1017.056,,1.7,,29300.0,0.23,0.5,,2.49
Kepler-62 e,1.61,36.0,270.0,0.427,1.352,4925.0,0.64,0.69,-0.37,
HD 197037 b,13.9,251.0,,2.07,,6150.0,1.105,1.11,-0.2,0.514
CFBDSIR J145829+101343 b,12.4,3337.1,370.0,2.6,,580.5,,0.021,,9.62
Kepler-269 b,2.47,6.66,1007.0,0.061,604.9,5847.0,0.959,0.92,0.4,2.43
Kepler-300 c,2.25,5.69,516.0,0.232,43.248,5986.0,0.9,1.07,0.04,2.74
Kepler-149 d,3.96,14.9,306.0,0.571,2.446,5381.0,0.953,1.013,0.3805,1.32
Kepler-124 d,1.11,1.41,428.0,0.17,10.499,4984.0,0.636,0.706,-0.46,5.67
Kepler-276 d,2.8,16.3,489.0,0.24666,11.274,5693.0,1.03,1.1,-0.29,0.76
Kepler-114 c,1.6,2.8,507.0,0.06482,51.623,4660.0,0.54,0.56,0.2291,1.18
WASP-83 b,11.65736,95.349,1120.0,0.059,238.875,5510.0,1.05,1.11,0.29,0.35
WASP-89 b,11.65736,1875.197,1120.0,0.0427,278.8533,5130.0,0.88,0.92,0.15,7.0
Kepler-402 c,1.56,3.05,1140.0,0.068,353.973,6090.0,1.264,1.072,-0.08,4.41
Kepler-157 b,1.32,2.3,1546.0,0.028,1572.309,5774.0,1.044,0.95,-0.0593,5.5
HATS-6 b,11.186582,101.38777,712.8,0.03623,47.3315,3724.0,0.57,0.574,0.2,0.399
Kepler-450 c,2.62,12.5,944.0,0.13351,213.731,6197.21,1.64162,1.19,0.1278,8.8
Kepler-81 c,2.37,4.3,502.0,0.08347,15.62,4385.0,0.59,0.64,-0.18,1.77
Kepler-412 b,15.031269,299.07803,1850.0,0.02897,2144.307,5750.0,1.287,1.167,0.27,0.52
Kepler-92 b,3.51,64.3,975.0,0.12232,257.776,5883.0,1.7,1.21,0.1381,2.098071
Kepler-288 c,2.85,8.5,815.0,0.14,53.148,5918.0,1.091,0.842,-0.24,2.02
Kepler-295 b,1.22,1.98,741.0,0.099,287.5,5603.0,0.898,0.89,-0.03,5.99
Kepler-178 d,3.95,14.8,392.0,0.397,3.874,5676.0,1.066,0.852,-0.04,1.32
Kepler-44 b,12.22,317.82,1544.0,0.0446,1109.223,5800.0,1.35,1.12,0.15,0.93
Kepler-41 b,14.46,177.98,1790.0,0.03101,2036.749,5750.0,1.29,1.15,0.38,0.33
Kepler-450 d,0.837,17.6,1199.0,0.0827,557.205,6197.21,1.64162,1.19,0.1278,77.0
POTS-1 b,10.548,734.16,,0.03734,,4400.0,0.588,0.695,-0.03,3.44
Kepler-350 d,2.8,14.9,782.0,0.1786,83.237,6492.3,1.25,1.0,0.041,2.69
Kepler-238 f,2.0,13.5,568.0,0.28635,35.869,5800.0,0.96,1.06,0.34,1.7
Kepler-287 c,3.26,66.0,513.0,0.246,12.457,5806.0,1.032,0.963,0.117,15.4
Kepler-285 b,1.34,2.36,1131.0,0.036,428.407,5411.0,0.808,0.915,0.17,5.39
Kepler-181 b,1.27,2.15,1041.0,0.04,255.584,5333.0,0.749,0.81,-0.04,5.77
Kepler-1398 c,1.03,1.08,1324.0,0.05087,738.183,6126.0,1.18,1.13,0.01,5.43
WASP-24 b,15.46842,394.1092,1772.0,0.03651,934.465,6075.0,1.42,1.43,0.0,0.622
WASP-21 b,11.99,95.345,1333.0,0.052,705.0438,5800.0,1.06,1.01,-0.22,0.32
TOI-237 b,1.44,2.67,388.0,0.0341,3.7,3212.0,0.211,0.179,,4.91
K2-237 b,16.06246934,434.15360396,1759.0,0.03552,1860.0,6180.0,1.236,1.256,0.337,0.577
Kepler-284 b,2.24,5.65,686.0,0.104,38.366,5615.0,0.814,0.766,-0.26,2.76
Kepler-654 b,2.07,4.94,831.0,0.11664,229.311,5865.0,1.11,1.04,0.04,3.06
Kepler-199 c,3.25,10.6,420.0,0.316,7.885,5644.0,0.967,0.96,0.0,1.7
Kepler-214 b,2.61,7.32,758.0,0.13,196.402,6169.0,1.352,1.11,-0.02,2.26
Kepler-87 b,13.49,324.2,478.0,0.481,9.203,5600.0,1.82,1.1,-0.17,0.729
